"11rd -- Väestö iän (1-v. 0-112) ja sukupuolen mukaan, 1972-2020"

"Sukupuoli";"Ikä";"Tiedot";"2020"
"Miehet";"0";"Väestö 31.12.";23806
"Miehet";"1";"Väestö 31.12.";23459
"Miehet";"2";"Väestö 31.12.";25012
"Miehet";"3";"Väestö 31.12.";26298
"Miehet";"4";"Väestö 31.12.";27634
"Miehet";"5";"Väestö 31.12.";29241
"Miehet";"6";"Väestö 31.12.";30326
"Miehet";"7";"Väestö 31.12.";31014
"Miehet";"8";"Väestö 31.12.";31549
"Miehet";"9";"Väestö 31.12.";31804
"Miehet";"10";"Väestö 31.12.";32599
"Miehet";"11";"Väestö 31.12.";32257
"Miehet";"12";"Väestö 31.12.";31895
"Miehet";"13";"Väestö 31.12.";31638
"Miehet";"14";"Väestö 31.12.";31642
"Miehet";"15";"Väestö 31.12.";30796
"Miehet";"16";"Väestö 31.12.";31133
"Miehet";"17";"Väestö 31.12.";30309
"Miehet";"18";"Väestö 31.12.";30052
"Miehet";"19";"Väestö 31.12.";30232
"Miehet";"20";"Väestö 31.12.";31041
"Miehet";"21";"Väestö 31.12.";31583
"Miehet";"22";"Väestö 31.12.";30994
"Miehet";"23";"Väestö 31.12.";32149
"Miehet";"24";"Väestö 31.12.";33411
"Miehet";"25";"Väestö 31.12.";34734
"Miehet";"26";"Väestö 31.12.";35881
"Miehet";"27";"Väestö 31.12.";36049
"Miehet";"28";"Väestö 31.12.";37781
"Miehet";"29";"Väestö 31.12.";37363
"Miehet";"30";"Väestö 31.12.";37895
"Miehet";"31";"Väestö 31.12.";37076
"Miehet";"32";"Väestö 31.12.";37154
"Miehet";"33";"Väestö 31.12.";35440
"Miehet";"34";"Väestö 31.12.";35869
"Miehet";"35";"Väestö 31.12.";36885
"Miehet";"36";"Väestö 31.12.";37860
"Miehet";"37";"Väestö 31.12.";38416
"Miehet";"38";"Väestö 31.12.";38288
"Miehet";"39";"Väestö 31.12.";36270
"Miehet";"40";"Väestö 31.12.";36082
"Miehet";"41";"Väestö 31.12.";35461
"Miehet";"42";"Väestö 31.12.";35665
"Miehet";"43";"Väestö 31.12.";35724
"Miehet";"44";"Väestö 31.12.";36004
"Miehet";"45";"Väestö 31.12.";35308
"Miehet";"46";"Väestö 31.12.";33261
"Miehet";"47";"Väestö 31.12.";30538
"Miehet";"48";"Väestö 31.12.";31409
"Miehet";"49";"Väestö 31.12.";31842
"Miehet";"50";"Väestö 31.12.";32772
"Miehet";"51";"Väestö 31.12.";33592
"Miehet";"52";"Väestö 31.12.";35623
"Miehet";"53";"Väestö 31.12.";36413
"Miehet";"54";"Väestö 31.12.";36456
"Miehet";"55";"Väestö 31.12.";36469
"Miehet";"56";"Väestö 31.12.";36979
"Miehet";"57";"Väestö 31.12.";37186
"Miehet";"58";"Väestö 31.12.";36707
"Miehet";"59";"Väestö 31.12.";36124
"Miehet";"60";"Väestö 31.12.";35539
"Miehet";"61";"Väestö 31.12.";35208
"Miehet";"62";"Väestö 31.12.";33840
"Miehet";"63";"Väestö 31.12.";35003
"Miehet";"64";"Väestö 31.12.";35544
"Miehet";"65";"Väestö 31.12.";34816
"Miehet";"66";"Väestö 31.12.";34089
"Miehet";"67";"Väestö 31.12.";33554
"Miehet";"68";"Väestö 31.12.";34439
"Miehet";"69";"Väestö 31.12.";32947
"Miehet";"70";"Väestö 31.12.";33572
"Miehet";"71";"Väestö 31.12.";33943
"Miehet";"72";"Väestö 31.12.";33955
"Miehet";"73";"Väestö 31.12.";33121
"Miehet";"74";"Väestö 31.12.";31242
"Miehet";"75";"Väestö 31.12.";27378
"Miehet";"76";"Väestö 31.12.";20992
"Miehet";"77";"Väestö 31.12.";19457
"Miehet";"78";"Väestö 31.12.";15010
"Miehet";"79";"Väestö 31.12.";20905
"Miehet";"80";"Väestö 31.12.";13911
"Miehet";"81";"Väestö 31.12.";15060
"Miehet";"82";"Väestö 31.12.";13822
"Miehet";"83";"Väestö 31.12.";11870
"Miehet";"84";"Väestö 31.12.";10342
"Miehet";"85";"Väestö 31.12.";9450
"Miehet";"86";"Väestö 31.12.";7965
"Miehet";"87";"Väestö 31.12.";6587
"Miehet";"88";"Väestö 31.12.";5790
"Miehet";"89";"Väestö 31.12.";5111
"Miehet";"90";"Väestö 31.12.";4170
"Miehet";"91";"Väestö 31.12.";3107
"Miehet";"92";"Väestö 31.12.";2491
"Miehet";"93";"Väestö 31.12.";1667
"Miehet";"94";"Väestö 31.12.";1229
"Miehet";"95";"Väestö 31.12.";857
"Miehet";"96";"Väestö 31.12.";572
"Miehet";"97";"Väestö 31.12.";353
"Miehet";"98";"Väestö 31.12.";178
"Miehet";"99";"Väestö 31.12.";120
"Miehet";"100";"Väestö 31.12.";62
"Miehet";"101";"Väestö 31.12.";42
"Miehet";"102";"Väestö 31.12.";26
"Miehet";"103";"Väestö 31.12.";9
"Miehet";"104";"Väestö 31.12.";8
"Miehet";"105";"Väestö 31.12.";4
"Miehet";"106";"Väestö 31.12.";1
"Miehet";"107";"Väestö 31.12.";0
"Miehet";"108";"Väestö 31.12.";0
"Miehet";"109";"Väestö 31.12.";0
"Miehet";"110";"Väestö 31.12.";0
"Miehet";"111";"Väestö 31.12.";0
"Miehet";"112";"Väestö 31.12.";0
"Naiset";"0";"Väestö 31.12.";22718
"Naiset";"1";"Väestö 31.12.";22661
"Naiset";"2";"Väestö 31.12.";23375
"Naiset";"3";"Väestö 31.12.";25257
"Naiset";"4";"Väestö 31.12.";26772
"Naiset";"5";"Väestö 31.12.";27742
"Naiset";"6";"Väestö 31.12.";29050
"Naiset";"7";"Väestö 31.12.";29321
"Naiset";"8";"Väestö 31.12.";30325
"Naiset";"9";"Väestö 31.12.";30578
"Naiset";"10";"Väestö 31.12.";31000
"Naiset";"11";"Väestö 31.12.";30913
"Naiset";"12";"Väestö 31.12.";30525
"Naiset";"13";"Väestö 31.12.";30135
"Naiset";"14";"Väestö 31.12.";30315
"Naiset";"15";"Väestö 31.12.";29699
"Naiset";"16";"Väestö 31.12.";29525
"Naiset";"17";"Väestö 31.12.";29203
"Naiset";"18";"Väestö 31.12.";28480
"Naiset";"19";"Väestö 31.12.";28803
"Naiset";"20";"Väestö 31.12.";28829
"Naiset";"21";"Väestö 31.12.";29372
"Naiset";"22";"Väestö 31.12.";29154
"Naiset";"23";"Väestö 31.12.";30585
"Naiset";"24";"Väestö 31.12.";31292
"Naiset";"25";"Väestö 31.12.";32708
"Naiset";"26";"Väestö 31.12.";34030
"Naiset";"27";"Väestö 31.12.";34150
"Naiset";"28";"Väestö 31.12.";35296
"Naiset";"29";"Väestö 31.12.";34998
"Naiset";"30";"Väestö 31.12.";35467
"Naiset";"31";"Väestö 31.12.";34784
"Naiset";"32";"Väestö 31.12.";34835
"Naiset";"33";"Väestö 31.12.";33039
"Naiset";"34";"Väestö 31.12.";33508
"Naiset";"35";"Väestö 31.12.";34476
"Naiset";"36";"Väestö 31.12.";35499
"Naiset";"37";"Väestö 31.12.";36132
"Naiset";"38";"Väestö 31.12.";35497
"Naiset";"39";"Väestö 31.12.";34371
"Naiset";"40";"Väestö 31.12.";33928
"Naiset";"41";"Väestö 31.12.";33809
"Naiset";"42";"Väestö 31.12.";33616
"Naiset";"43";"Väestö 31.12.";34132
"Naiset";"44";"Väestö 31.12.";34110
"Naiset";"45";"Väestö 31.12.";33272
"Naiset";"46";"Väestö 31.12.";32065
"Naiset";"47";"Väestö 31.12.";28950
"Naiset";"48";"Väestö 31.12.";30003
"Naiset";"49";"Väestö 31.12.";31242
"Naiset";"50";"Väestö 31.12.";32241
"Naiset";"51";"Väestö 31.12.";32659
"Naiset";"52";"Väestö 31.12.";35208
"Naiset";"53";"Väestö 31.12.";35971
"Naiset";"54";"Väestö 31.12.";36211
"Naiset";"55";"Väestö 31.12.";36343
"Naiset";"56";"Väestö 31.12.";36984
"Naiset";"57";"Väestö 31.12.";37354
"Naiset";"58";"Väestö 31.12.";36847
"Naiset";"59";"Väestö 31.12.";36790
"Naiset";"60";"Väestö 31.12.";36699
"Naiset";"61";"Väestö 31.12.";36339
"Naiset";"62";"Väestö 31.12.";35161
"Naiset";"63";"Väestö 31.12.";36538
"Naiset";"64";"Väestö 31.12.";37380
"Naiset";"65";"Väestö 31.12.";37005
"Naiset";"66";"Väestö 31.12.";37418
"Naiset";"67";"Väestö 31.12.";36393
"Naiset";"68";"Väestö 31.12.";37396
"Naiset";"69";"Väestö 31.12.";35918
"Naiset";"70";"Väestö 31.12.";37012
"Naiset";"71";"Väestö 31.12.";38001
"Naiset";"72";"Väestö 31.12.";38547
"Naiset";"73";"Väestö 31.12.";37950
"Naiset";"74";"Väestö 31.12.";36785
"Naiset";"75";"Väestö 31.12.";32324
"Naiset";"76";"Väestö 31.12.";25781
"Naiset";"77";"Väestö 31.12.";24096
"Naiset";"78";"Väestö 31.12.";19132
"Naiset";"79";"Väestö 31.12.";27351
"Naiset";"80";"Väestö 31.12.";19019
"Naiset";"81";"Väestö 31.12.";21868
"Naiset";"82";"Väestö 31.12.";19983
"Naiset";"83";"Väestö 31.12.";18208
"Naiset";"84";"Väestö 31.12.";16376
"Naiset";"85";"Väestö 31.12.";15392
"Naiset";"86";"Väestö 31.12.";13949
"Naiset";"87";"Väestö 31.12.";12005
"Naiset";"88";"Väestö 31.12.";11514
"Naiset";"89";"Väestö 31.12.";10340
"Naiset";"90";"Väestö 31.12.";9505
"Naiset";"91";"Väestö 31.12.";8006
"Naiset";"92";"Väestö 31.12.";6430
"Naiset";"93";"Väestö 31.12.";5021
"Naiset";"94";"Väestö 31.12.";3791
"Naiset";"95";"Väestö 31.12.";3055
"Naiset";"96";"Väestö 31.12.";2098
"Naiset";"97";"Väestö 31.12.";1523
"Naiset";"98";"Väestö 31.12.";1004
"Naiset";"99";"Väestö 31.12.";632
"Naiset";"100";"Väestö 31.12.";410
"Naiset";"101";"Väestö 31.12.";187
