"12dm -- Elävänä syntyneet sukupuolen, järjestysluvun ja äidin iän (1-v.) mukaan, 1990-2020"

"Vuosi";"Äidin ikä";"Miehet Elävänä syntyneet";"Naiset Elävänä syntyneet"
"2020";"0 - 14";3;0
"2020";"15";4;5
"2020";"16";13;15
"2020";"17";33;26
"2020";"18";84;78
"2020";"19";149;153
"2020";"20";278;259
"2020";"21";345;355
"2020";"22";515;466
"2020";"23";617;584
"2020";"24";779;702
"2020";"25";993;978
"2020";"26";1158;1113
"2020";"27";1356;1352
"2020";"28";1535;1452
"2020";"29";1726;1564
"2020";"30";1776;1746
"2020";"31";1804;1762
"2020";"32";1710;1638
"2020";"33";1521;1461
"2020";"34";1451;1339
"2020";"35";1320;1269
"2020";"36";1206;1053
"2020";"37";962;919
"2020";"38";709;713
"2020";"39";590;561
"2020";"40";411;434
"2020";"41";279;281
"2020";"42";174;170
"2020";"43";126;106
"2020";"44";65;70
"2020";"45";49;29
"2020";"46";17;17
"2020";"47";9;5
"2020";"48";1;6
"2020";"49";3;2
"2020";"50";3;1
"2020";"51";1;0
"2020";"52";0;0
"2020";"53";1;0
"2020";"54";1;1
"2020";"55 -";1;0
